filename,algorithm,score
pa_10_27,VPSC,0.78
pa_10_28,GTREE,0.68
pa_10_28,PFS,0.76
pa_10_28,PFS',0.776
pa_10_28,PRISM,0.669
pa_10_28,RWordle-L,0.739
pa_10_28,SCALE,0.734
pa_10_28,VPSC,0.78
pa_10_29,GTREE,0.603
pa_10_29,PFS,0.652
pa_10_29,PFS',0.714
pa_10_29,PRISM,0.621
pa_10_29,RWordle-L,0.726
pa_10_29,SCALE,0.651
pa_10_29,VPSC,0.753
pa_10_2,GTREE,0.649
pa_10_2,PFS,0.693
pa_10_2,PFS',0.703
pa_10_2,PRISM,0.662
pa_10_2,RWordle-L,0.676
pa_10_2,SCALE,0.693
pa_10_2,VPSC,0.753
pa_10_30,GTREE,0.603
pa_10_30,PFS,0.652
pa_10_30,PFS',0.714
pa_10_30,PRISM,0.621
pa_10_30,RWordle-L,0.726
pa_10_30,SCALE,0.651
pa_10_30,VPSC,0.753
pa_10_3,GTREE,0.615
pa_10_3,PFS,0.612
pa_10_3,PFS',0.692
pa_10_3,PRISM,0.658
pa_10_3,RWordle-L,0.732
pa_10_3,SCALE,0.551
pa_10_3,VPSC,0.741
pa_10_4,GTREE,0.615
pa_10_4,PFS,0.612
pa_10_4,PFS',0.692
pa_10_4,PRISM,0.658
pa_10_4,RWordle-L,0.732
pa_10_4,SCALE,0.551
pa_10_4,VPSC,0.741
pa_10_5,GTREE,0.603
pa_10_5,PFS,0.652
pa_10_5,PFS',0.714
pa_10_5,PRISM,0.621
pa_10_5,RWordle-L,0.726
pa_10_5,SCALE,0.651
pa_10_5,VPSC,0.753
pa_10_6,GTREE,0.615
pa_10_6,PFS,0.612
pa_10_6,PFS',0.692
pa_10_6,PRISM,0.658
pa_10_6,RWordle-L,0.732
pa_10_6,SCALE,0.551
pa_10_6,VPSC,0.741
pa_10_7,GTREE,0.615
pa_10_7,PFS,0.612
pa_10_7,PFS',0.692
pa_10_7,PRISM,0.658
pa_10_7,RWordle-L,0.732
pa_10_7,SCALE,0.551
pa_10_7,VPSC,0.741
pa_10_8,GTREE,0.603
pa_10_8,PFS,0.652
pa_10_8,PFS',0.714
pa_10_8,PRISM,0.621
pa_10_8,RWordle-L,0.726
pa_10_8,SCALE,0.651
pa_10_8,VPSC,0.753
pa_10_9,GTREE,0.603
pa_10_9,PFS,0.652
pa_10_9,PFS',0.714
pa_10_9,PRISM,0.621
pa_10_9,RWordle-L,0.726
pa_10_9,SCALE,0.651
pa_10_9,VPSC,0.753
pa_200_10,GTREE,0.443
pa_200_10,PFS,0.28
pa_200_10,PFS',0.421
pa_200_10,PRISM,0.373
