filename,algorithm,score
pa_20_6,VPSC,0.712
pa_20_6,PRISM,0.611
pa_20_6,GTREE,0.56
pa_20_6,RWordle-L,0.72
pa_20_7,initial,0.0
pa_20_7,SCALE,0.602
pa_20_7,PFS,0.556
pa_20_7,PFS',0.66
pa_20_7,FTA,0.642
pa_20_7,VPSC,0.71
pa_20_7,PRISM,0.575
pa_20_7,GTREE,0.577
pa_20_7,RWordle-L,0.728
pa_20_8,initial,0.0
pa_20_8,SCALE,0.562
pa_20_8,PFS,0.497
pa_20_8,PFS',0.619
pa_20_8,FTA,0.501
pa_20_8,VPSC,0.703
pa_20_8,PRISM,0.573
pa_20_8,GTREE,0.561
pa_20_8,RWordle-L,0.721
pa_20_9,initial,0.0
pa_20_9,SCALE,0.562
pa_20_9,PFS,0.497
pa_20_9,PFS',0.619
pa_20_9,FTA,0.501
pa_20_9,VPSC,0.703
pa_20_9,PRISM,0.573
pa_20_9,GTREE,0.561
pa_20_9,RWordle-L,0.721
pa_500_8,initial,0.0
pa_500_8,SCALE,0.482
pa_500_8,PFS,0.294
pa_500_8,PFS',0.408
pa_500_8,FTA,0.181
pa_500_8,VPSC,0.171
pa_500_8,PRISM,0.378
pa_500_8,GTREE,0.393
pa_500_8,RWordle-L,0.42
pa_500_9,initial,0.0
pa_500_9,SCALE,0.481
pa_500_9,PFS,0.296
pa_500_9,PFS',0.419
pa_500_9,FTA,0.081
pa_500_9,VPSC,0.172
pa_500_9,PRISM,0.374
pa_500_9,GTREE,0.405
pa_500_9,RWordle-L,0.41
pa_50_10,initial,0.0
pa_50_10,SCALE,0.519
pa_50_10,PFS,0.374
pa_50_10,PFS',0.501
pa_50_10,FTA,0.493
pa_50_10,VPSC,0.569
pa_50_10,PRISM,0.478
pa_50_10,GTREE,0.504
pa_50_10,RWordle-L,0.65
pa_50_11,initial,0.0
pa_50_11,SCALE,0.518
pa_50_11,PFS,0.354
pa_50_11,PFS',0.517
pa_50_11,FTA,0.408
pa_50_11,VPSC,0.484
pa_50_11,PRISM,0.486
pa_50_11,GTREE,0.501
pa_50_11,RWordle-L,0.624
pa_50_12,initial,0.0
pa_50_12,SCALE,0.52
pa_50_12,PFS,0.378
pa_50_12,PFS',0.503
pa_50_12,FTA,0.361
pa_50_12,VPSC,0.552
pa_50_12,PRISM,0.544
pa_50_12,GTREE,0.5
pa_50_12,RWordle-L,0.669
pa_50_13,initial,0.0
pa_50_13,SCALE,0.519
pa_50_13,PFS,0.374
pa_50_13,PFS',0.501
pa_50_13,FTA,0.493
pa_50_13,VPSC,0.569
pa_50_13,PRISM,0.478
pa_50_13,GTREE,0.504
