filename,algorithm,score
pa_50_12,GTREE,0.868
pa_50_12,RWordle-L,0.892
pa_50_13,initial,0.0
pa_50_13,SCALE,0.91
pa_50_13,PFS,0.801
pa_50_13,PFS',0.854
pa_50_13,FTA,0.854
pa_50_13,VPSC,0.839
pa_50_13,PRISM,0.839
pa_50_13,GTREE,0.87
pa_50_13,RWordle-L,0.887
pa_50_14,initial,0.0
pa_50_14,SCALE,0.91
pa_50_14,PFS,0.801
pa_50_14,PFS',0.854
pa_50_14,FTA,0.854
pa_50_14,VPSC,0.839
pa_50_14,PRISM,0.839
pa_50_14,GTREE,0.87
pa_50_14,RWordle-L,0.887
pa_50_15,initial,0.0
pa_50_15,SCALE,0.911
pa_50_15,PFS,0.823
pa_50_15,PFS',0.875
pa_50_15,FTA,0.795
pa_50_15,VPSC,0.844
pa_50_15,PRISM,0.881
pa_50_15,GTREE,0.868
pa_50_15,RWordle-L,0.892
pa_50_16,initial,0.0
pa_50_16,SCALE,0.91
pa_50_16,PFS,0.801
pa_50_16,PFS',0.854
pa_50_16,FTA,0.854
pa_50_16,VPSC,0.839
pa_50_16,PRISM,0.839
pa_50_16,GTREE,0.87
pa_50_16,RWordle-L,0.887
pa_50_17,initial,0.0
pa_50_17,SCALE,0.909
pa_50_17,PFS,0.796
pa_50_17,PFS',0.873
pa_50_17,FTA,0.808
pa_50_17,VPSC,0.813
pa_50_17,PRISM,0.852
pa_50_17,GTREE,0.87
pa_50_17,RWordle-L,0.891
pa_50_18,initial,0.0
pa_50_18,SCALE,0.91
pa_50_18,PFS,0.801
pa_50_18,PFS',0.854
pa_50_18,FTA,0.854
pa_50_18,VPSC,0.839
pa_50_18,PRISM,0.839
pa_50_18,GTREE,0.87
pa_50_18,RWordle-L,0.887
pa_50_19,initial,0.0
pa_50_19,SCALE,0.909
pa_50_19,PFS,0.784
pa_50_19,PFS',0.847
pa_50_19,FTA,0.815
pa_50_19,VPSC,0.845
pa_50_19,PRISM,0.846
pa_50_19,GTREE,0.862
pa_50_19,RWordle-L,0.886
pa_50_1,initial,0.0
pa_50_1,SCALE,0.905
pa_50_1,PFS,0.804
pa_50_1,PFS',0.861
pa_50_1,FTA,0.84
pa_50_1,VPSC,0.839
pa_50_1,PRISM,0.834
pa_50_1,GTREE,0.874
pa_50_1,RWordle-L,0.882
pa_50_20,initial,0.0
pa_50_20,SCALE,0.909
pa_50_20,PFS,0.784
pa_50_20,PFS',0.847
pa_50_20,FTA,0.815
pa_50_20,VPSC,0.845
pa_50_20,PRISM,0.846
pa_50_20,GTREE,0.862
pa_50_20,RWordle-L,0.886
pa_50_21,initial,0.0
pa_50_21,SCALE,0.91
pa_50_21,PFS,0.81
pa_50_21,PFS',0.857
pa_50_21,FTA,0.786
pa_50_21,VPSC,0.842
pa_50_21,PRISM,0.848
pa_50_21,GTREE,0.876
