type;n;m;iteration;algorithm;oo_nni;sp_ch_a;gs_bb_iar;nm_dm_imse;eb_rsdd
pa;100;390;12;pfs;0;17.044254553124983;1.511832691249312;2282.063342624626;0.307915
pa;100;390;12;pfsp;0;4.775910123960977;1.0074129601865733;121.97511720677414;0.209372
pa;100;390;12;prism;0.021212121212121213;4.177243911795166;1.0933814469283576;86.13495872702049;0.312344
pa;100;390;12;rwordle;0.09616161616161616;1.9903025072769795;1.0418118466898956;470.3520292970897;0.611868
pa;100;390;12;scale;0;19.73345259391771;1.0575769692123151;0;0
pa;100;390;12;vpsc;0.027171717171717173;2.380239352225271;1.9634146341463414;165.42589259747626;0.408108
pa;100;485;13;gtree;0.039191919191919194;6.759771655763018;1.0225402661064427;650.5361951091861;0.354673
pa;100;485;13;pfs;0;17.632097895630597;1.7698071098358041;2753.118558499079;0.388855
pa;100;485;13;pfsp;0;5.559168337919598;1.1504265828468792;217.04953704880353;0.300924
pa;100;485;13;prism;0.025454545454545455;4.182711647525153;1.3376496616345652;194.78019733570986;0.396692
pa;100;485;13;rwordle;0.1007070707070707;2.0392335045084993;1.086460847133228;540.5171579528253;0.634382
pa;100;485;13;scale;0;76.4985933780567;1.0675187552097805;0;0
pa;100;485;13;vpsc;0.03404040404040404;2.4881097189144894;2.244471338981186;334.96336277957784;0.506001
pa;100;485;14;gtree;0.026363636363636363;7.528948100370001;1.0731354838709677;379.7683384118425;0.341202
pa;100;485;14;pfs;0;22.246579570274246;1.7052727272727273;2030.2675632884445;0.325016
pa;100;485;14;pfsp;0;6.396696743612757;1.1627786259541986;135.4969752731834;0.247994
pa;100;485;14;prism;0.032929292929292926;5.064987591094725;1.3478558558558558;278.00116395890734;0.394399
pa;100;485;14;rwordle;0.09898989898989899;2.236886393955962;1.1936903154842258;553.8635495660784;0.6069
pa;100;485;14;scale;0;33.93313339997779;1.0708579154375615;1.544401799249787e-19;0
pa;100;485;14;vpsc;0.03666666666666667;2.3916516462442803;2.2626709573612227;222.27306216776017;0.517621
pa;100;390;15;gtree;0.02313131313131313;6.184775077886274;1.0440584088620342;195.43104598143384;0.278718
pa;100;390;15;pfs;0;20.35740450126576;1.6435272045028142;2682.494958211829;0.375407
pa;100;390;15;pfsp;0;5.162069833910365;1.022938443670151;117.75875858091148;0.220589
pa;100;390;15;prism;0.022525252525252525;4.545584274696832;1.148217636022514;150.31560231912698;0.332116
pa;100;390;15;rwordle;0.09272727272727273;2.0988740095227363;1.0951730418943533;424.43140083044693;0.612745
pa;100;390;15;scale;0;19.489629139588278;1.064327485380117;0;0
pa;100;390;15;vpsc;0.02414141414141414;2.4908133682112705;2.195945945945946;266.71895402783593;0.435598
pa;100;485;16;gtree;0.022727272727272728;6.04681419322045;1.0114253552835233;292.5582636087651;0.283044
pa;100;485;16;pfs;0;19.975853771141427;1.6863687493608754;2643.668258260328;0.354173
pa;100;485;16;pfsp;0;5.303766810245248;1.1346617387112325;131.95605300672585;0.216657
pa;100;485;16;prism;0.02595959595959596;4.691749611819877;1.2725033820111693;245.62678952855273;0.359653
pa;100;485;16;rwordle;0.10525252525252525;2.2140524377521706;1.0803402646502835;551.7924226109996;0.69734
pa;100;485;16;scale;0;34.02594710539716;1.0696957114894121;1.4667326343618843e-19;0
pa;100;485;16;vpsc;0.028383838383838383;2.403850862260857;1.8529325941056318;185.64177287809835;0.423988
pa;100;579;17;gtree;0.023636363636363636;6.339540808029912;1.0080369357045145;434.1765927086572;0.272381
